Currency,Date,Open,High,Low,Close,Volume
SEK=X,2/13/2020,9.636445,9.68795,9.6274,9.674595,486980721
CAD=X,2/14/2020,1.326695,1.326695,1.32365,1.32523,278521425
EUR=X,2/14/2020,1.08468,1.08643,1.0833,1.08341,272678388
GBP=X,2/14/2020,1.30434,1.305515,1.301405,1.304935,159434290
JPY=X,2/14/2020,109.766,109.7745,109.661,109.7385,125910080
AUD=X,2/14/2020,0.672035,0.67266,0.67083,0.67136,200178380
SGD=X,2/14/2020,1.39079,1.39268,1.39079,1.392,314210439
CHF=X,2/14/2020,0.979505,0.98175,0.9794,0.98164,439385831
NZD=X,2/14/2020,0.643765,0.64448,0.642915,0.643615,124036779
SEK=X,2/14/2020,9.67475,9.697995,9.66995,9.696045,316009291
CAD=X,2/16/2020,1.32556,1.32556,1.3245,1.32456,221857628
EUR=X,2/16/2020,1.083935,1.084485,1.083135,1.084405,163904600
GBP=X,2/16/2020,1.304065,1.30559,1.303365,1.305335,226859746
JPY=X,2/16/2020,109.815,109.8385,109.739,109.756,155588898
AUD=X,2/16/2020,0.67202,0.673035,0.671625,0.672675,197210132
CHF=X,2/16/2020,0.9816,0.982095,0.98118,0.98128,150868134
NZD=X,2/16/2020,0.645025,0.645135,0.643915,0.64473,147272333
CAD=X,2/17/2020,1.32458,1.3251,1.322515,1.32365,213327594
EUR=X,2/17/2020,1.084435,1.08543,1.083005,1.08395,165944109
GBP=X,2/17/2020,1.305335,1.30542,1.298405,1.30097,536017944
JPY=X,2/17/2020,109.757,109.9585,109.6815,109.815,154646714
AUD=X,2/17/2020,0.672605,0.673365,0.67076,0.67106,329297180
SGD=X,2/17/2020,1.38959,1.39045,1.38832,1.389465,122129178
CHF=X,2/17/2020,0.981335,0.98232,0.980435,0.98048,235913295
NZD=X,2/17/2020,0.64473,0.64473,0.642075,0.64372,261847647
SEK=X,2/17/2020,9.71185,9.729145,9.6952,9.6952,268891979
CAD=X,2/18/2020,1.323695,1.327825,1.32352,1.32554,324827324
EUR=X,2/18/2020,1.08395,1.08401,1.07883,1.07966,683299438
GBP=X,2/18/2020,1.30097,1.305035,1.297285,1.29995,201887355
JPY=X,2/18/2020,109.815,109.915595,109.627825,109.895825,176152080
AUD=X,2/18/2020,0.67106,0.67106,0.667455,0.66931,359721725
SGD=X,2/18/2020,1.389395,1.39157,1.389395,1.39032,263755914
CHF=X,2/18/2020,0.98048,0.983605,0.979375,0.9829,484690263
NZD=X,2/18/2020,0.64372,0.64381,0.638245,0.639255,815494798
SEK=X,2/18/2020,9.6952,9.6987,9.6952,9.6987,135502818
CAD=X,2/19/2020,1.325475,1.32565,1.321335,1.322085,513097360
EUR=X,2/19/2020,1.079635,1.08141,1.0784,1.08106,293753310
GBP=X,2/19/2020,1.299995,1.302505,1.290895,1.29267,831691052
JPY=X,2/19/2020,109.899825,111.560095,109.832325,111.197825,1322955763
AUD=X,2/19/2020,0.66931,0.670765,0.666525,0.668205,263995718
CHF=X,2/19/2020,0.98293,0.984165,0.982325,0.983465,185045161
NZD=X,2/19/2020,0.639255,0.641115,0.637115,0.639115,122434327
CAD=X,2/20/2020,1.322085,1.32688,1.321235,1.326065,584993361
EUR=X,2/20/2020,1.081115,1.082225,1.077875,1.078785,416803657
GBP=X,2/20/2020,1.292695,1.292975,1.2851,1.28823,546006901
JPY=X,2/20/2020,111.197825,112.201595,111.094825,112.022595,877085689
AUD=X,2/20/2020,0.66817,0.66944,0.66106,0.661375,1108462357
CHF=X,2/20/2020,0.983465,0.984665,0.981375,0.983635,127023696
NZD=X,2/20/2020,0.639115,0.639515,0.63256,0.633205,1047049106
CAD=X,2/21/2020,1.32612,1.326845,1.320225,1.3226,528938852
EUR=X,2/21/2020,1.07889,1.086445,1.078785,1.085075,940957348
GBP=X,2/21/2020,1.28823,1.298215,1.287935,1.295735,849671174
JPY=X,2/21/2020,112.022595,112.1505,111.4365,111.551595,543769002
AUD=X,2/21/2020,0.66134,0.663865,0.65856,0.662665,296646449
CHF=X,2/21/2020,0.983655,0.983925,0.97694,0.978095,983833827
NZD=X,2/21/2020,0.63316,0.63578,0.63036,0.635395,458148012
CAD=X,2/23/2020,1.325575,1.325885,1.324635,1.32529,134729424
EUR=X,2/23/2020,1.081935,1.08425,1.081935,1.08391,368535289
GBP=X,2/23/2020,1.294965,1.295775,1.294685,1.295285,131964660
JPY=X,2/23/2020,111.3755,111.5785,111.3605,111.541,255931571
AUD=X,2/23/2020,0.65911,0.660885,0.65896,0.66068,333007491
SGD=X,2/23/2020,1.4008,1.40195,1.4007,1.4019,294736763
CHF=X,2/23/2020,0.97963,0.979755,0.978265,0.978785,234323666
NZD=X,2/23/2020,0.63218,0.633035,0.63172,0.632325,123235553
SEK=X,2/23/2020,9.757745,9.757745,9.75224,9.75224,155840862
CAD=X,2/24/2020,1.32538,1.330745,1.32482,1.328785,514925224
EUR=X,2/24/2020,1.083915,1.08726,1.080825,1.08481,221690675
GBP=X,2/24/2020,1.29529,1.295415,1.28877,1.292565,372199060
JPY=X,2/24/2020,111.5315,111.665,110.3185,110.857325,735197382
AUD=X,2/24/2020,0.66068,0.661975,0.65873,0.66109,160849090
SGD=X,2/24/2020,1.4019,1.404,1.398525,1.398805,647918438
CHF=X,2/24/2020,0.978785,0.98139,0.97634,0.979805,262142177
NZD=X,2/24/2020,0.63232,0.635625,0.630305,0.63434,423695295
SEK=X,2/24/2020,9.752145,9.80085,9.716695,9.73835,239931823
CAD=X,2/25/2020,1.32883,1.330565,1.326775,1.328045,195658238
EUR=X,2/25/2020,1.08494,1.088825,1.08303,1.087835,493625145
